"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"175","ARO:3000783","cmeA","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",8,"efflux pump","efflux pump"
"176","ARO:3000265","porin OmpF","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",8,"permeability modulation","efflux pump"
"177","ARO:3004442","tet(W)","ARO:3000194","tet(W/N/W)",8,"tet RPG","tet RPG"
"178","ARO:3004720","tet(X)","ARO:3000205","tet(X4)",8,"tet enzyme","tet enzyme"
"179","ARO:3004621","AAC(3)-IIc","ARO:3002535","AAC(3)-IIe",7,"aac","aac"
"180","ARO:3002570","AAC(6')-Iak","ARO:3003199","AAC(6')-Iz",7,"aac","aac"
"181","ARO:3002549","AAC(6')-Iap","ARO:3007204","AAC(6')-Ic",7,"aac","aac"
"182","ARO:3002570","AAC(6')-Ic","ARO:3002549","AAC(6')-Iz",7,"aac","aac"
"183","ARO:3004191","AAC(6')-Ie-APH(2'')-Ia bifunctional protein","ARO:3002597","APH(2'')-If",7,"aph","bifunctional aminoglycoside"
"184","ARO:3002481","AER-1","ARO:3006950","MAL-2",7,"class A beta-lactamase","class A beta-lactamase"
"185","ARO:3002657","APH(6)-Ia","ARO:3002658","APH(6)-Ib",7,"aph","aph"
"186","ARO:3009024","BOR-1","ARO:3008082","PEN-B2",7,"class A beta-lactamase","class A beta-lactamase"
"187","ARO:3003565","BcI","ARO:3002877","R39",7,"class A beta-lactamase","class A beta-lactamase"
"188","ARO:3006225","CepA-29","ARO:3006224","CepA-44",7,"class A beta-lactamase","class A beta-lactamase"
"189","ARO:3004290","EC-15","ARO:3006876","Escherichia coli ampC beta-lactamase",7,"class C beta-lactamase","class C beta-lactamase"
"190","ARO:3002824","ErmO-srmA","ARO:3001303","ErmV",7,"erm","erm"
"191","ARO:3002874","FosC2","ARO:3007368","FosG",7,"fos","fos"
"192","ARO:3009033","PNC-1","ARO:3009032","PNC-2",7,"class C beta-lactamase","class C beta-lactamase"
"193","ARO:3002376","RATA-1","ARO:3007801","VEB-7",7,"class A beta-lactamase","class A beta-lactamase"
"194","ARO:3004660","catB11","ARO:3002675","catB2",7,"cat","cat"
