"gene","aro"
"OXA-119","ARO:3001775"
"bmr","ARO:3003007"
"APH(3')-IVa","ARO:3002648"
"rosA","ARO:3003048"
"QnrB56","ARO:3002769"
"smeC","ARO:3003053"
"AAC(6')-Iw","ARO:3002567"
"ErmT","ARO:3000595"
"QnrB12","ARO:3002726"
"TEM-141","ARO:3001004"
"tet(D)","ARO:3000168"
"catII","ARO:3002684"
"lsaA","ARO:3000300"
"AAC(6')-Ic","ARO:3002549"
"EreD","ARO:3004608"
"IND-5","ARO:3002261"
"tet(44)","ARO:3000556"
"mef(B)","ARO:3003107"
"vph","ARO:3003061"
"SIM-1","ARO:3000846"
"SAT-2","ARO:3002895"
"FosA","ARO:3000149"
"adeA","ARO:3000774"
"OXA-214","ARO:3001713"
"mdtC","ARO:3000794"
"CTX-M-3","ARO:3001866"
"evgS","ARO:3000833"
"mecA","ARO:3000617"
"tet(Q)","ARO:3000191"
"tet(32)","ARO:3000196"
"AAC(6')-Iq","ARO:3002560"
"ANT(4')-IIb","ARO:3002625"
"emrR","ARO:3000516"
"APH(3')-IIIa","ARO:3002647"
"BcII","ARO:3002878"
"mtrC","ARO:3000810"
"QnrVC1","ARO:3002799"
"CMY-101","ARO:3002113"
"cmx","ARO:3002703"
"oleD","ARO:3000865"
"abeM","ARO:3000753"
"QnrB69","ARO:3002781"
"AAC(6')-Ib10","ARO:3002581"
"ANT(2'')-Ia","ARO:3000230"
"AAC(3)-IIc","ARO:3002535"
"rmtG","ARO:3002668"
"mdsB","ARO:3000790"
"ANT(9)-Ia","ARO:3002630"
"oleB","ARO:3003036"
"arlR","ARO:3000838"
"aadA22","ARO:3002619"
"dfrC","ARO:3002865"
"armA","ARO:3000858"
"AAC(2')-Id","ARO:3002526"
"aadA5","ARO:3002605"
"ACC-3","ARO:3001817"
"RbpA","ARO:3000245"
"IMP-7","ARO:3002198"
"acrD","ARO:3000491"
"cphA2","ARO:3003099"
"Erm(35)","ARO:3000604"
"mdtN","ARO:3003548"
"OXA-59","ARO:3001772"
"IND-9","ARO:3002265"
"IMP-15","ARO:3002206"
"tet(K)","ARO:3000178"
"aadA7","ARO:3002607"
"facT","ARO:3001313"
"adeI","ARO:3000780"
"vanH_gene_in_vanD_cluster","ARO:3002944"
"Bla1","ARO:3000090"
"MexH","ARO:3000807"
"CcrA","ARO:3000578"
"THIN-B","ARO:3000851"
"AcrF","ARO:3000502"
"AcrE","ARO:3000499"
"Plasmid-encoded_cat_(pp-cat)","ARO:3002689"
"AAC(3)-Xa","ARO:3002544"
"MOX-8","ARO:3002190"
"lnuF","ARO:3002839"
"PER-6","ARO:3002368"
"ACT-4","ARO:3001829"
"dfrA10","ARO:3003011"
"APH(6)-Ia","ARO:3002657"
"OXA-209","ARO:3001809"
"smeA","ARO:3003051"
"QnrA2","ARO:3002708"
"EreA2","ARO:3002826"
"vatE","ARO:3002844"
"rmtC","ARO:3000861"
"amrA","ARO:3002982"
"dfrE","ARO:3002875"
"Erm(43)","ARO:3003205"
"ErmB","ARO:3000375"
"smeR","ARO:3003066"
"norA","ARO:3000391"
"mtrA","ARO:3000816"
"aad(6)","ARO:3002628"
"CTX-M-63","ARO:3001924"
"FosB","ARO:3000172"
"AAC(6')-32","ARO:3002586"
"catIII","ARO:3002685"
"dfrA5","ARO:3002861"
"QnrVC6","ARO:3002803"
"OXA-10","ARO:3001405"
"dfrA14","ARO:3002859"
"mecB","ARO:3003440"
"LRA-1","ARO:3002482"
"cphA5","ARO:3003101"
"QnrC","ARO:3002787"
"ErmR","ARO:3000594"
"APH(2'')-IIa","ARO:3002635"
"CTX-M-152","ARO:3002009"
"vanE","ARO:3002907"
"OXA-362","ARO:3001549"
"L1_beta-lactamase","ARO:3000582"
"SAT-4","ARO:3002897"
"MexD","ARO:3000801"
"tet(41)","ARO:3000569"
"lmrD","ARO:3002882"
"vgaE","ARO:3002833"
"IMP-13","ARO:3002204"
"catQ","ARO:3002687"
"EXO-1","ARO:3003564"
"vanX_gene_in_vanF_cluster","ARO:3002952"
"vanR_gene_in_vanC_cluster","ARO:3002922"
"MUS-1","ARO:3000843"
"vanX_gene_in_vanD_cluster","ARO:3003070"
